Título,Descrição,Preço,Local,Ano,KM Rodado
Citroën C4 Lounge,C4 Lounge Tendance 2.0i manual,"R$ 43.990,00","São Paulo, SP",2013/2014,125.509 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 43.990,00","Curitiba, PR",2014/2014,99.600 Km
Volkswagen Fox,Fox 1.6 VHT Highline I-Motion (Aut) (Flex) automático,"R$ 43.990,00","Campinas, SP",2013/2014,117.991 Km
Chevrolet Prisma,Prisma 1.0 LT SPE/4 manual,"R$ 43.990,00","São Paulo, SP",2013/2014,71.000 Km
Volkswagen Fox,Fox 1.6 VHT (Flex) manual,"R$ 43.990,00","Osasco, SP",2014/2014,70.400 Km
Volkswagen Polo,Polo Hatch 1.6 VHT Total Flex manual,"R$ 43.990,00","Belo Horizonte, MG",2012/2013,99.600 Km
Citroën C3,C3 Exclusive 1.6 16V (Flex)(aut) automático,"R$ 43.990,00","São Paulo, SP",2012/2013,111.305 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 43.990,00","São Paulo, SP",2013/2013,106.000 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 43.990,00","Campinas, SP",2012/2013,129.219 Km
Renault Fluence,Fluence 2.0 16V Dynamique (Aut) (Flex) automático,"R$ 43.990,00","Campinas, SP",2013/2013,65.822 Km
Fiat 500,500 Cult 1.4 8V manual,"R$ 43.990,00","Taubaté, SP",2011/2012,117.800 Km
Fiat 500,500 Cult Dualogic 1.4 8V automático,"R$ 43.990,00","Franca, SP",2012/2012,88.000 Km
Honda Fit,New Fit DX 1.4 (Flex) manual,"R$ 43.990,00","Campinas, SP",2012/2012,204.126 Km
Kia Soul,Soul 1.6 16V U.113 manual,"R$ 43.990,00","São Paulo, SP",2010/2011,87.000 Km
Honda Fit,New Fit LX 1.4 (flex) (aut) automático,"R$ 43.990,00","Campinas, SP",2009/2010,198.000 Km
Hyundai Azera,Azera 3.3 V6 automático,"R$ 43.990,00","Campinas, SP",2009/2010,114.919 Km
Volkswagen New Beetle,New Beetle 2.0 (Aut) automático,"R$ 43.990,00","Valinhos, SP",2006/2007,116.816 Km
Renault Kwid,Kwid Intense 1.0 12v SCe (Flex) manual,"R$ 43.999,00","Rio de Janeiro, RJ",2018/2018,46.787 Km
Hyundai HB20S,HB20S 1.0 Comfort Plus manual,"R$ 43.999,00","São João de Meriti, RJ",2015/2015,89.000 Km
Volkswagen Saveiro,Saveiro Trendline 1.6 MSI CS (Flex) manual,"R$ 43.999,00","Guarulhos, SP",2014/2015,120.000 Km
Chevrolet Onix,Onix 1.0 Seleção SPE/4 manual,"R$ 43.999,00","São Paulo, SP",2015/2015,103.000 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 44.000,00","Fortaleza, CE",2017/2018,53.000 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 44.000,00","Bauru, SP",2017/2017,108.000 Km
Toyota Etios Hatch,Etios X 1.3 (Flex) manual,"R$ 44.000,00","Rio Branco, AC",2014/2015,60.000 Km
Renault Sandero,Sandero Expression Easy-r 1.6 8V (Flex) automático,"R$ 44.000,00","Maceió, AL",2014/2015,85.000 Km
Volkswagen Fox,Fox Trendline 1.0 TEC (Flex) manual,"R$ 44.000,00","São Luís, MA",2014/2015,78.000 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 44.000,00","Franca, SP",2013/2014,146.225 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 44.000,00","Rio Branco, AC",2013/2014,121.367 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 44.000,00","Jacundá, PA",2013/2014,65.000 Km
Chevrolet Spin,Spin LT 5S 1.8 (Flex) manual,"R$ 44.000,00","Palotina, PR",2012/2013,134.011 Km
Chevrolet Cobalt,Cobalt LTZ 1.8 8V (Aut) (Flex) automático,"R$ 44.000,00","Mossoró, RN",2013/2013,107.000 Km
Honda Fit,New Fit DX 1.4 (Flex) manual,"R$ 44.000,00","Osasco, SP",2012/2012,154.000 Km
Volkswagen Saveiro,Saveiro SuperSurf 1.8 G4 (Flex) manual,"R$ 44.000,00","Lins, SP",2008/2008,85.000 Km
Honda Civic,New Civic LXS 1.8 16V (Flex) automático,"R$ 44.000,00","São Paulo, SP",2007/2008,186.551 Km
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 44.090,00","Curitiba, PR",2016/2017,122.000 Km
Chevrolet Cobalt,Cobalt LT 1.4 8V (Flex) manual,"R$ 44.090,00","Bicas, MG",2013/2014,88.000 Km
Fiat Mobi,Mobi 1.0 Evo Like manual,"R$ 44.099,00","Rio de Janeiro, RJ",2019/2020,36.545 Km
Renault Kwid,Kwid Intense 1.0 12v SCe (Flex) manual,"R$ 44.200,00","Porto Alegre, RS",2018/2018,64.000 Km
Renault Kangoo Express,Kangoo Express 1.6 16V Com Porta Lateral(Flex) manual,"R$ 44.300,00","Curitiba, PR",2014/2015,49.486 Km
Renault Logan,Logan Authentique 1.0 12V SCe (Flex) manual,"R$ 44.390,00","São Paulo, SP",2018/2019,127.000 Km
Renault Sandero,Sandero Expression 1.6 8V (Flex) manual,"R$ 44.399,00","Belo Horizonte, MG",2016/2016,84.175 Km
Chevrolet Prisma,Prisma 1.4 LTZ SPE/4 manual,"R$ 44.399,00","Rio de Janeiro, RJ",2014/2015,13.274 Km
Honda City,City LX 1.5 16V (flex) automático,"R$ 44.399,00","Rio de Janeiro, RJ",2012/2013,100.002 Km
Hyundai HB20S,HB20S 1.0 Comfort Plus manual,"R$ 44.450,00","Recife, PE",2013/2014,66.000 Km
Fiat Mobi,Mobi 1.0 Evo Easy manual,"R$ 44.490,00","Campinas, SP",2020/2020,49.890 Km
Fiat Mobi,Mobi 1.0 Evo Easy manual,"R$ 44.490,00","Piracicaba, SP",2020/2020,49.890 Km
Renault Sandero,Sandero Authentique 1.0 12V SCe (Flex) manual,"R$ 44.490,00","Campinas, SP",2019/2019,72.000 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 44.490,00","São Paulo, SP",2018/2018,68.000 Km
Fiat Grand Siena,Grand Siena Evo Attractive 1.0 (Flex) manual,"R$ 44.490,00","São Paulo, SP",2017/2018,112.472 Km
Fiat Palio,Palio Attractive 1.0 Evo (Flex) manual,"R$ 44.490,00","Viradouro, SP",2015/2016,68.000 Km
Peugeot 208,208 1.5 8V Allure (Flex) manual,"R$ 44.490,00","Leme, SP",2013/2014,100.560 Km
Volkswagen CrossFox,CrossFox 1.6 (Flex) manual,"R$ 44.490,00","Muriaé, MG",2010/2011,133.500 Km
Volkswagen Gol,Gol 1.0 MPI (Flex) manual,"R$ 44.499,00","Rio de Janeiro, RJ",2019/2019,75.694 Km
Hyundai HB20,HB20 1.6 Comfort manual,"R$ 44.499,00","Osasco, SP",2014/2014,98.000 Km
Renault Kwid,Kwid Intense 1.0 12v SCe (Flex) manual,"R$ 44.500,00","Belo Horizonte, MG",2018/2019,66.000 Km
Volkswagen Gol,Gol 1.0 MPI Trendline (Flex) manual,"R$ 44.500,00","Niterói, RJ",2018/2018,68.773 Km
Volkswagen Up!,Up! 1.0 12v E-Flex take up! 4p manual,"R$ 44.500,00","Mossoró, RN",2016/2016,73.000 Km
Lifan X60,X60 1.8 16V VVT Talent manual,"R$ 44.500,00","Brasília, DF",2015/2016,119.000 Km
Nissan March,March 1.0 12V S (Flex) manual,"R$ 44.500,00","Jaraguá do Sul, SC",2016/2016,115.965 Km
Volkswagen Up!,Up! 1.0 12v E-Flex move up! 4p manual,"R$ 44.500,00","São Paulo, SP",2015/2016,80.625 Km
Ford New Fiesta Hatch,New Fiesta S 1.5 16V manual,"R$ 44.500,00","Bebedouro, SP",2014/2015,99.000 Km
Volkswagen CrossFox,CrossFox 1.6 VHT (Flex) manual,"R$ 44.500,00","Goiânia, GO",2014/2014,100.000 Km
Hyundai Tucson,Tucson GLS 2.0 16V (aut) automático,"R$ 44.500,00","Mogi das Cruzes, SP",2011/2012,141.000 Km
Honda Civic,New Civic EXS 1.8 16V (Aut) (Flex) automático,"R$ 44.500,00","São Paulo, SP",2008/2008,92.301 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 44.560,00","Rio de Janeiro, RJ",2020/2021,46.423 Km
Nissan Versa,Versa 1.0 Conforto (Flex) manual,"R$ 44.590,00","Rio de Janeiro, RJ",2019/2019,42.000 Km
Volkswagen Gol,Gol 1.0 MPI (Flex) manual,"R$ 44.599,00","Rio de Janeiro, RJ",2019/2019,60.000 Km
Volkswagen Gol,Gol 1.0 MPI (Flex) manual,"R$ 44.599,00","Rio de Janeiro, RJ",2018/2019,55.601 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.700,00","Fortaleza, CE",2018/2018,32.151 Km
Renault Kwid,Kwid Intense 1.0 12v SCe (Flex) manual,"R$ 44.700,00","Curitiba, PR",2017/2018,75.884 Km
Renault Logan,Logan Expression 1.6 8V manual,"R$ 44.700,00","Curitiba, PR",2015/2015,146.750 Km
Fiat 500,500 Cult Dualogic 1.4 8V automático,"R$ 44.700,00","Osasco, SP",2012/2013,121.000 Km
Volkswagen Saveiro,Saveiro 1.6 (Flex) (cab. estendida) manual,"R$ 44.700,00","Catanduva, SP",2013/2013,173.793 Km
Hyundai Tucson,Tucson GLS 2.0 16V (aut) automático,"R$ 44.700,00","Goiânia, GO",2011/2012,64.768 Km
Fiat Grand Siena,Grand Siena Attractive 1.0 Evo (Flex) manual,"R$ 44.720,00","Rio de Janeiro, RJ",2019/2019,60.000 Km
Fiat Grand Siena,Grand Siena Attractive 1.0 Evo (Flex) manual,"R$ 44.720,00","Rio de Janeiro, RJ",2019/2019,60.000 Km
Volkswagen Voyage,Voyage 1.6 MSI Trendline (Flex) manual,"R$ 44.720,00","São João de Meriti, RJ",2017/2018,80.000 Km
Fiat Grand Siena,Grand Siena Essence 1.6 16V Dualogic (Flex) automático,"R$ 44.770,00","Osasco, SP",2014/2015,88.563 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.800,00","Goiânia, GO",2018/2019,68.000 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.800,00","Curitiba, PR",2017/2018,66.000 Km
Nissan March,March 1.0 12V S (Flex) manual,"R$ 44.800,00","Londrina, PR",2018/2018,65.495 Km
Volkswagen Gol,Gol 1.0 MPI Trendline (Flex) manual,"R$ 44.800,00","Curitiba, PR",2016/2017,83.000 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 44.800,00","Guarulhos, SP",2016/2017,72.000 Km
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 44.800,00","Curitiba, PR",2017/2017,90.139 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 44.800,00","Marília, SP",2016/2016,76.000 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 44.800,00","Patos de Minas, MG",2015/2015,112.450 Km
Volkswagen SpaceFox,SpaceFox 1.6 8V Trend (Flex) manual,"R$ 44.800,00","Bauru, SP",2013/2014,94.360 Km
Honda Fit,Fit LX 1.4 (flex) manual,"R$ 44.800,00","Fernandópolis, SP",2012/2013,99.000 Km
Volkswagen SpaceFox,SpaceFox 1.6 8V (Flex) manual,"R$ 44.800,00","Curitiba, PR",2012/2013,111.790 Km
Ford Focus Hatch,Focus Hatch GLX 2.0 16V (Flex) manual,"R$ 44.800,00","Contagem, MG",2013/2013,133.678 Km
Fiat Punto,Punto Essence 1.6 16V (Flex) automático,"R$ 44.870,00","São Paulo, SP",2015/2016,92.000 Km
Volkswagen Fox,Fox 1.0 TEC (Flex) 2p manual,"R$ 44.880,00","São Paulo, SP",2013/2014,73.000 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.887,00","Praia Grande, SP",2019/2019,39.000 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 44.887,00","Sorocaba, SP",2016/2017,149.000 Km
Volkswagen Up!,Up! 1.0 12v E-Flex move up! I-Motion 4p automático,"R$ 44.889,00","São Bernardo do Campo, SP",2015/2016,114.475 Km
Fiat Punto,Punto Essence 1.6 16V (Flex) manual,"R$ 44.889,00","São Paulo, SP",2013/2014,90.000 Km
Kia Soul,Soul EX 1.6 16V U.101 manual,"R$ 44.889,00","São Paulo, SP",2009/2010,130.000 Km
Fiat Mobi,Mobi 1.0 Evo Easy manual,"R$ 44.890,00","Pouso Alegre, MG",2019/2020,45.727 Km
Fiat Mobi,Mobi 1.0 Evo Easy Comfort manual,"R$ 44.890,00","São Paulo, SP",2019/2020,38.545 Km
Fiat Mobi,Mobi 1.0 Evo Easy manual,"R$ 44.890,00","Poços de Caldas, MG",2019/2020,45.727 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 44.890,00","Campinas, SP",2020/2020,69.044 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.890,00","Osasco, SP",2019/2019,55.000 Km
Renault Sandero,Sandero Expression 1.6 16V SCe (Flex) manual,"R$ 44.890,00","Barueri, SP",2017/2018,100.417 Km
Nissan Versa,Versa 1.0 Conforto (Flex) manual,"R$ 44.890,00","São Paulo, SP",2017/2018,100.000 Km
Renault Sandero,Sandero Expression 1.6 8V (Flex) manual,"R$ 44.890,00","São José do Rio Preto, SP",2016/2017,98.200 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 44.890,00","São Paulo, SP",2016/2017,83.389 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 44.890,00","São Paulo, SP",2016/2016,122.898 Km
Volkswagen Gol,Gol 1.0 TEC Comfortline (Flex) 4p manual,"R$ 44.890,00","São José, SC",2015/2015,83.300 Km
Ford New Fiesta Hatch,New Fiesta SE 1.6 16V manual,"R$ 44.890,00","Curitiba, PR",2014/2015,103.000 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 44.890,00","Sertãozinho, SP",2015/2015,95.000 Km
Citroën Aircross,Aircross Tendance 1.6 16V (Flex) manual,"R$ 44.890,00","Osasco, SP",2014/2015,113.000 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 44.890,00","São Paulo, SP",2014/2014,91.000 Km
Hyundai HB20,HB20 1.6 Comfort manual,"R$ 44.890,00","São Paulo, SP",2014/2014,108.800 Km
Volkswagen Fox,Fox 1.6 VHT Highline (Flex) manual,"R$ 44.890,00","Americana, SP",2013/2014,95.000 Km
Fiat 500,500 Cult 1.4 Evo (Flex) manual,"R$ 44.890,00","São Paulo, SP",2013/2014,99.520 Km
Peugeot 208,208 1.6 16V Griffe (Flex) (Aut) automático,"R$ 44.890,00","São Paulo, SP",2013/2014,97.634 Km
Toyota Etios Hatch,Etios 1.3 (Flex) manual,"R$ 44.890,00","Natal, RN",2014/2014,98.950 Km
Chevrolet Prisma,Prisma 1.4 LT SPE/4 manual,"R$ 44.890,00","Fortaleza, CE",2013/2013,103.000 Km
Ford EcoSport,Ecosport XLT Freestyle 1.6 (Flex) manual,"R$ 44.890,00","Santo André, SP",2011/2012,110.474 Km
Kia Picanto,Picanto 1.0 (Aut) (Flex) J368 automático,"R$ 44.890,00","Campinas, SP",2012/2012,89.000 Km
Volkswagen New Beetle,New Beetle 2.0 manual,"R$ 44.890,00","São Paulo, SP",2008/2009,142.800 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 44.897,00","São Paulo, SP",2017/2018,47.000 Km
Chevrolet Prisma,Prisma 1.0 LT SPE/4 manual,"R$ 44.899,00","Cuiabá, MT",2014/2014,89.000 Km
Ford EcoSport,Ecosport S 1.6 16V (Flex) manual,"R$ 44.899,00","Rio de Janeiro, RJ",2013/2013,54.645 Km
Ford EcoSport,Ecosport S 1.6 16V (Flex) manual,"R$ 44.899,00","Rio de Janeiro, RJ",2013/2013,54.166 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 44.900,00","São João de Meriti, RJ",2020/2021,200 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 44.900,00","Curitiba, PR",2019/2020,59.304 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 44.900,00","Jundiaí, SP",2019/2020,68.287 Km
Fiat Mobi,Mobi 1.0 Evo Like manual,"R$ 44.900,00","Rio de Janeiro, RJ",2020/2020,59.000 Km
Renault Logan,Logan Authentique 1.0 12V SCe (Flex) manual,"R$ 44.900,00","Rio de Janeiro, RJ",2019/2020,42.345 Km
Fiat Mobi,Mobi 1.0 Evo Easy manual,"R$ 44.900,00","Contagem, MG",2019/2020,100 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 44.900,00","Curitiba, PR",2019/2020,59.304 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 44.900,00","Uberlândia, MG",2019/2020,78.000 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 44.900,00","Mossoró, RN",2019/2020,71.805 Km
Fiat Uno,Uno Attractive 1.0 (Flex) manual,"R$ 44.900,00","Rio de Janeiro, RJ",2020/2020,200 Km
Fiat Uno,Uno Attractive 1.0 (Flex) manual,"R$ 44.900,00","Rio de Janeiro, RJ",2019/2020,41.956 Km
Fiat Uno,Uno Attractive 1.0 (Flex) manual,"R$ 44.900,00","Pato Branco, PR",2019/2020,105.662 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.900,00","Curitiba, PR",2018/2019,54.990 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.900,00","Osasco, SP",2019/2019,48.527 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.900,00","João Pessoa, PB",2018/2019,65.000 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.900,00","Belo Horizonte, MG",2018/2019,69.000 Km
Fiat Grand Siena,Grand Siena Attractive 1.4 Evo (Flex) manual,"R$ 44.900,00","Rio de Janeiro, RJ",2019/2019,38.477 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.900,00","São Gonçalo, RJ",2019/2019,N/D
Fiat Uno,Uno Attractive 1.0 Firefly (Flex) manual,"R$ 44.900,00","Niterói, RJ",2019/2019,70.000 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.900,00","Osasco, SP",2018/2019,63.500 Km
Fiat Mobi,Mobi FireFly Drive 1.0 (Flex) manual,"R$ 44.900,00","Salvador, BA",2018/2019,89.900 Km
Nissan March,March 1.0 12V S (Flex) manual,"R$ 44.900,00","Recife, PE",2017/2018,39.000 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.900,00","Sorocaba, SP",2018/2018,43.000 Km
Fiat Mobi,Mobi Evo Like 1.0 (Flex) manual,"R$ 44.900,00","Sorocaba, SP",2017/2018,43.000 Km
Chevrolet Prisma,Prisma 1.0 Joy SPE/4 manual,"R$ 44.900,00","São João de Meriti, RJ",2017/2018,74.000 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.900,00","Belo Horizonte, MG",2017/2018,70.341 Km
Fiat Grand Siena,Grand Siena Evo Attractive 1.4 8V (Flex) manual,"R$ 44.900,00","Rio de Janeiro, RJ",2017/2018,52.000 Km
Volkswagen Gol,Gol 1.0 MPI Trendline (Flex) manual,"R$ 44.900,00","Rio de Janeiro, RJ",2018/2018,59.000 Km
Volkswagen Gol,Gol 1.0 MPI Trendline (Flex) manual,"R$ 44.900,00","Belo Horizonte, MG",2017/2018,126.000 Km
Fiat Uno,Uno Drive 1.0 Firefly (Flex) manual,"R$ 44.900,00","Curitiba, PR",2017/2018,92.480 Km
Fiat Mobi,Mobi Evo Like 1.0 (Flex) manual,"R$ 44.900,00","Jundiaí, SP",2017/2018,104.500 Km
Renault Kwid,Kwid Intense 1.0 12v SCe (Flex) manual,"R$ 44.900,00","Lages, SC",2017/2018,54.000 Km
Renault Sandero,Sandero Expression 1.0 12V SCe (Flex) manual,"R$ 44.900,00","Recife, PE",2017/2018,68.460 Km
Renault Logan,Logan Authentique 1.0 12V SCe (Flex) manual,"R$ 44.900,00","Ijuí, RS",2017/2018,90.278 Km
Renault Logan,Logan Authentique 1.0 12V SCe (Flex) manual,"R$ 44.900,00","Vacaria, RS",2017/2018,90.278 Km
Renault Logan,Logan Authentique 1.0 12V SCe (Flex) manual,"R$ 44.900,00","Veranópolis, RS",2017/2018,90.278 Km
Volkswagen Gol,Gol 1.6 MSI Trendline (Flex) manual,"R$ 44.900,00","Manaus, AM",2017/2018,68.000 Km
Volkswagen Up!,Up! 1.0 12v E-Flex take up! 4p manual,"R$ 44.900,00","Brasília, DF",2017/2018,119.447 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 44.900,00","Fortaleza, CE",2017/2018,74.500 Km
Fiat Uno,Uno Drive 1.0 Firefly (Flex) manual,"R$ 44.900,00","São José dos Pinhais, PR",2017/2018,179.000 Km
Renault Sandero,Sandero Expression 1.0 12V SCe (Flex) manual,"R$ 44.900,00","São José dos Campos, SP",2017/2018,141.580 Km
Renault Sandero,Sandero Expression 1.0 12V SCe (Flex) manual,"R$ 44.900,00","São José dos Campos, SP",2017/2018,108.000 Km
Fiat Uno,Uno Way 1.0 Firefly (Flex) manual,"R$ 44.900,00","Barueri, SP",2018/2018,65.000 Km
Volkswagen Gol,Gol 1.0 MPI Trendline (Flex) manual,"R$ 44.900,00","Curitiba, PR",2017/2017,80.858 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 44.900,00","Resende, RJ",2016/2017,74.131 Km
Volkswagen Gol,Gol 1.6 MSI Trendline (Flex) manual,"R$ 44.900,00","Itaguaí, RJ",2016/2017,120.000 Km
Volkswagen Gol,Gol 1.0 MPI Track (Flex) manual,"R$ 44.900,00","Curitiba, PR",2016/2017,68.291 Km
Fiat Palio,Palio Attractive 1.0 Evo (Flex) manual,"R$ 44.900,00","Fortaleza, CE",2016/2017,72.335 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 44.900,00","Salto Grande, SP",2016/2017,92.600 Km
Fiat Uno,Uno Attractive 1.0 Firefly (Flex) manual,"R$ 44.900,00","Aparecida de Goiânia, GO",2017/2017,79.211 Km
Fiat Weekend,Weekend Attractive 1.4 Fire (Flex) manual,"R$ 44.900,00","Bocaiúva do Sul, PR",2016/2017,89.319 Km
Volkswagen Gol,Gol 1.0 MPI Trendline (Flex) manual,"R$ 44.900,00","Brasília, DF",2016/2017,124.000 Km
Ford Ka,Ka 1.0 SE Plus (Flex) manual,"R$ 44.900,00","São José dos Campos, SP",2016/2017,147.390 Km
Volkswagen Gol,Gol 1.0 MPI Trendline (Flex) manual,"R$ 44.900,00","Curitiba, PR",2017/2017,80.858 Km
Ford Ka,Ka 1.0 SE Plus (Flex) manual,"R$ 44.900,00","Guarulhos, SP",2016/2017,125.800 Km
Ford Ka,Ka 1.0 SE Plus (Flex) manual,"R$ 44.900,00","Belo Horizonte, MG",2016/2017,59.867 Km
Volkswagen Gol,Gol 1.0 MPI Trendline (Flex) manual,"R$ 44.900,00","Belo Horizonte, MG",2016/2017,83.972 Km
Volkswagen Gol,Gol 1.0 MPI Trendline (Flex) 2p manual,"R$ 44.900,00","Toritama, PE",2016/2017,34.986 Km
Nissan March,March 1.0 12V S (Flex) manual,"R$ 44.900,00","Jundiaí, SP",2016/2017,87.400 Km
Renault Sandero,Sandero Expression 1.0 12V SCe (Flex) manual,"R$ 44.900,00","São José dos Campos, SP",2016/2017,121.423 Km
Fiat Palio,Palio Attractive 1.0 Evo (Flex) manual,"R$ 44.900,00","Toledo, PR",2016/2017,113.000 Km
Ford Ka Sedan,Ka Sedan SE 1.0 (Flex) manual,"R$ 44.900,00","Curitiba, PR",2016/2017,48.983 Km
Nissan March,March 1.6 16V S (Flex) manual,"R$ 44.900,00","São Paulo, SP",2015/2016,115.000 Km
Chevrolet Onix,Onix 1.0 LS SPE/4 manual,"R$ 44.900,00","Belo Horizonte, MG",2016/2016,98.456 Km
Nissan March,March 1.6 16V SL (Flex) manual,"R$ 44.900,00","Belo Horizonte, MG",2015/2016,99.130 Km
Fiat Punto,Punto Attractive 1.4 (Flex) manual,"R$ 44.900,00","Campinas, SP",2015/2016,97.174 Km
Citroën C3,C3 Exclusive 1.5 8V (Flex) manual,"R$ 44.900,00","Rio de Janeiro, RJ",2015/2016,67.043 Km
Ford Ka,Ka Hatch SE 1.0 (Flex) manual,"R$ 44.900,00","Curitiba, PR",2016/2016,61.617 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 44.900,00","Pilar do Sul, SP",2016/2016,87.000 Km
Fiat Grand Siena,Grand Siena Tetrafuel 1.4 8V manual,"R$ 44.900,00","Rio de Janeiro, RJ",2015/2016,87.265 Km
Ford Ka Sedan,Ka Sedan SEL 1.5 16v (Flex) manual,"R$ 44.900,00","Cuiabá, MT",2016/2016,113.802 Km
Volkswagen Gol,Gol 1.0 TEC Comfortline (Flex) manual,"R$ 44.900,00","Palhoça, SC",2015/2016,88.000 Km
Nissan Versa,Versa 1.6 16V SL manual,"R$ 44.900,00","Atibaia, SP",2015/2016,154.000 Km
Renault Sandero,Sandero Expression 1.6 8V (Flex) manual,"R$ 44.900,00","Ribeirão Preto, SP",2016/2016,109.000 Km
Fiat Palio,Palio Attractive 1.0 Evo (Flex) manual,"R$ 44.900,00","São Paulo, SP",2016/2016,84.529 Km
Ford New Fiesta Hatch,New Fiesta S 1.5 16V manual,"R$ 44.900,00","Hortolândia, SP",2016/2016,133.949 Km
Ford Ka,Ka Hatch SE 1.0 (Flex) manual,"R$ 44.900,00","São José dos Campos, SP",2016/2016,144.000 Km
Toyota Etios Hatch,Etios X 1.3 (Flex) manual,"R$ 44.900,00","Recife, PE",2015/2016,55.363 Km
Fiat Uno,Uno Way 1.4 8V (Flex) 4p manual,"R$ 44.900,00","Arujá, SP",2015/2016,141.480 Km
Volkswagen Up!,Up! 1.0 12v E-Flex move up! 4p manual,"R$ 44.900,00","Belo Horizonte, MG",2016/2016,94.844 Km
Fiat Linea,Linea Essence 1.8 16V (Flex) manual,"R$ 44.900,00","Curitiba, PR",2015/2016,74.500 Km
Renault Logan,Logan Expression 1.6 8V (Flex) manual,"R$ 44.900,00","Ribeirão Preto, SP",2015/2016,140.000 Km
Toyota Etios Hatch,Etios X 1.3 (Flex) manual,"R$ 44.900,00","Arujá, SP",2015/2016,86.442 Km
Volkswagen Gol,Gol 1.0 TEC Special (Flex) 4p manual,"R$ 44.900,00","Sumaré, SP",2015/2016,165.000 Km
Fiat Idea,Idea Attractive 1.4 8V (Flex) manual,"R$ 44.900,00","Itaguaí, RJ",2015/2016,116.000 Km
Fiat Punto,Punto Attractive 1.4 (Flex) manual,"R$ 44.900,00","Quixadá, CE",2014/2015,80.440 Km
Ford Ka Sedan,Ka Sedan SEL 1.5 16v (Flex) manual,"R$ 44.900,00","Sorocaba, SP",2014/2015,129.015 Km
Volkswagen Up!,Up! 1.0 12v E-Flex high up! manual,"R$ 44.900,00","Uberaba, MG",2014/2015,66.000 Km
Chevrolet Montana,Montana LS 1.4 (Flex) manual,"R$ 44.900,00","Ponta Grossa, PR",2015/2015,146.877 Km
Citroën C3,C3 Tendance 1.5 8V (Flex) manual,"R$ 44.900,00","São Paulo, SP",2014/2015,107.570 Km
Ford Ka,Ka Hatch SE 1.0 (Flex) manual,"R$ 44.900,00","Tubarão, SC",2014/2015,91.000 Km
Ford Ka,Ka Hatch SE 1.0 (Flex) manual,"R$ 44.900,00","Blumenau, SC",2014/2015,91.000 Km
