Marca,Carro,Descrição,Preço,Ano,KM Rodado,Transmissão,Cidade,Estado,Classificação,Preço Predito
Fiat,Mobi,Mobi 1.0 Like,50970,2021,72289,Manual,São Luís,MA,Mediano,50970.0
Fiat,Mobi,Mobi 1.0 Like,50970,2021,72846,Manual,Canoas,RS,Mediano,50970.0
Fiat,Uno,Uno 1.0 Attractive,50970,2020,66680,Manual,Maringá,PR,Mediano,51040.0
Fiat,Uno,Uno 1.0 Attractive,50980,2021,85276,Manual,Feira de Santana,BA,Barato,50980.0
Fiat,Uno,Uno 1.0 Attractive,50980,2021,78731,Manual,Belo Horizonte,MG,Barato,49945.0
Hyundai,HB20,HB20 1.0 Comfort,50980,2015,77000,Manual,Campinas,SP,Barato,49440.0
Fiat,Uno,Uno 1.0 Attractive,50990,2021,69427,Manual,Feira de Santana,BA,Mediano,50990.0
Fiat,Mobi,Mobi 1.0 Like,50990,2020,70849,Manual,Jundiaí,SP,Mediano,50990.0
Fiat,Uno,Uno 1.0 Attractive,50990,2021,43808,Manual,São José dos Campos,SP,Mediano,51490.0
Renault,Kwid,Kwid 1.0 Zen,50990,2020,57872,Manual,São Paulo,SP,Mediano,50990.0
Fiat,Uno,Uno 1.0 Attractive,50990,2021,36886,Manual,Rio de Janeiro,RJ,Mediano,51525.0
Fiat,Mobi,Mobi 1.0 Like,50990,2021,81800,Manual,Belo Horizonte,MG,Barato,50990.0
Fiat,Mobi,Mobi 1.0 Like,50990,2020,76134,Manual,Blumenau,SC,Mediano,50990.0
Fiat,Uno,Uno 1.0 Attractive,50990,2021,28809,Manual,Curitiba,PR,Mediano,52510.0
Fiat,Mobi,Mobi 1.0 Like,50990,2021,35578,Manual,Curitiba,PR,Mediano,50990.0
Fiat,Uno,Uno 1.0 Attractive,50990,2021,34180,Manual,Curitiba,PR,Mediano,50990.0
Fiat,Mobi,Mobi 1.0 Like,50990,2021,31500,Manual,Curitiba,PR,Mediano,53080.0
Fiat,Uno,Uno 1.0 Attractive,50990,2021,33592,Manual,Curitiba,PR,Mediano,50990.0
Fiat,Uno,Uno 1.0 Attractive,50990,2021,69063,Manual,Rio de Janeiro,RJ,Mediano,50990.0
Volkswagen,Gol,Gol 1.0 MPI (Flex),50990,2020,61000,Manual,Campinas,SP,Mediano,50990.0
Fiat,Uno,Uno 1.0 Attractive,50990,2020,42836,Manual,Campo Grande,MS,Mediano,50990.0
Renault,Kwid,Kwid 1.0 Zen,50990,2020,33928,Manual,Palhoça,SC,Mediano,50990.0
Fiat,Uno,Uno 1.0 Attractive,50990,2021,41199,Manual,Bauru,SP,Mediano,50990.0
Fiat,Uno,Uno 1.0 Attractive,50990,2021,69697,Manual,Salvador,BA,Mediano,51640.0
Fiat,Uno,Uno 1.0 Attractive,50990,2020,43984,Manual,Salvador,BA,Mediano,50990.0
Fiat,Uno,Uno 1.0 Attractive,50990,2021,50018,Manual,Mossoró,RN,Mediano,51010.0
Fiat,Mobi,Mobi 1.0 Like,50990,2020,75482,Manual,Limeira,SP,Mediano,50990.0
Fiat,Mobi,Mobi 1.0 Like,50990,2021,72788,Manual,São Paulo,SP,Mediano,50990.0
Renault,Kwid,Kwid 1.0 Zen,50990,2020,33000,Manual,Mogi Mirim,SP,Mediano,52320.0
Fiat,Uno,Uno 1.0 Attractive,50990,2021,76682,Manual,São Paulo,SP,Mediano,50990.0
Fiat,Mobi,Mobi 1.0 Like,50990,2020,32468,Manual,Rio de Janeiro,RJ,Mediano,52460.0
